Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1
4,B1035.032,1,Fraction Needed,0
4,B1035.032,1,Fraction Damaged,0
4,B1035.032,2,Number in DS,0
4,B1035.032,2,Fraction Needed,0.415828111590207
4,B1035.032,2,Fraction Damaged,0
4,B1035.032,3,Number in DS,0
4,B1035.032,3,Fraction Needed,0.647089454356066
4,B1035.032,3,Fraction Damaged,0

4,B2022.001,-,Total in Building,4050
4,B2022.001,-,Caused Unsafe Placard,False
4,B2022.001,1,Number in DS,0
4,B2022.001,1,Fraction Needed,0
4,B2022.001,1,Fraction Damaged,0
4,B2022.001,2,Number in DS,0
4,B2022.001,2,Fraction Needed,0.957808983215429
4,B2022.001,2,Fraction Damaged,0

4,B3011.011,-,Total in Building,549
4,B3011.011,-,Caused Unsafe Placard,False
4,B3011.011,1,Number in DS,0
4,B3011.011,1,Fraction Needed,0
4,B3011.011,1,Fraction Damaged,0
4,B3011.011,2,Number in DS,10
4,B3011.011,2,Fraction Needed,0.665460739687236
4,B3011.011,2,Fraction Damaged,0.0182149362477231

4,B1031.021b,-,Total in Building,40
4,B1031.021b,-,Caused Unsafe Placard,False
4,B1031.021b,1/0,Number in DS,0
4,B1031.021b,1/0,Fraction Needed,0
4,B1031.021b,1/0,Fraction Damaged,0
4,B1031.021b,1/1,Number in DS,0
4,B1031.021b,1/1,Fraction Needed,0
4,B1031.021b,1/1,Fraction Damaged,0
4,B1031.021b,2,Number in DS,0
4,B1031.021b,2,Fraction Needed,0.0175517290668356
4,B1031.021b,2,Fraction Damaged,0


5,-,-,Has Unsafe Placard,False
5,-,-,Collapse,False
5,-,-,Residual Drift,False

5,B1031.001,-,Total in Building,20
5,B1031.001,-,Caused Unsafe Placard,False
5,B1031.001,1/0,Number in DS,0
5,B1031.001,1/0,Fraction Needed,0
5,B1031.001,1/0,Fraction Damaged,0
5,B1031.001,1/1,Number in DS,0
5,B1031.001,1/1,Fraction Needed,0
5,B1031.001,1/1,Fraction Damaged,0
5,B1031.001,2,Number in DS,0
5,B1031.001,2,Fraction Needed,0.243756218687543
5,B1031.001,2,Fraction Damaged,0
5,B1031.001,3,Number in DS,0
5,B1031.001,3,Fraction Needed,0.108088372049919
5,B1031.001,3,Fraction Damaged,0

5,B1035.022,-,Total in Building,36
5,B1035.022,-,Caused Unsafe Placard,False
5,B1035.022,1,Number in DS,0
5,B1035.022,1,Fraction Needed,0
5,B1035.022,1,Fraction Damaged,0
5,B1035.022,2,Number in DS,0
5,B1035.022,2,Fraction Needed,0.611207505908679
5,B1035.022,2,Fraction Damaged,0
5,B1035.022,3,Number in DS,0
5,B1035.022,3,Fraction Needed,0.305902077606387
5,B1035.022,3,Fraction Damaged,0

5,B1035.032,-,Total in Building,144
5,B1035.032,-,Caused Unsafe Placard,False
5,B1035.032,1,Number in DS,0
5,B1035.032,1,Fraction Needed,0
5,B1035.032,1,Fraction Damaged,0
5,B1035.032,2,Number in DS,0
5,B1035.032,2,Fraction Needed,0.378109870302472
5,B1035.032,2,Fraction Damaged,0
5,B1035.032,3,Number in DS,0
5,B1035.032,3,Fraction Needed,0.250162765160876
5,B1035.032,3,Fraction Damaged,0

5,B2022.001,-,Total in Building,4050
5,B2022.001,-,Caused Unsafe Placard,False
5,B2022.001,1,Number in DS,0
5,B2022.001,1,Fraction Needed,0
5,B2022.001,1,Fraction Damaged,0
5,B2022.001,2,Number in DS,0
5,B2022.001,2,Fraction Needed,1
5,B2022.001,2,Fraction Damaged,0

5,B3011.011,-,Total in Building,549
5,B3011.011,-,Caused Unsafe Placard,False
5,B3011.011,1,Number in DS,0
5,B3011.011,1,Fraction Needed,0
5,B3011.011,1,Fraction Damaged,0
5,B3011.011,2,Number in DS,3
5,B3011.011,2,Fraction Needed,0.27592354856803
5,B3011.011,2,Fraction Damaged,0.00546448087431694

5,B1031.021b,-,Total in Building,40
5,B1031.021b,-,Caused Unsafe Placard,False
5,B1031.021b,1/0,Number in DS,0
5,B1031.021b,1/0,Fraction Needed,0
5,B1031.021b,1/0,Fraction Damaged,0
5,B1031.021b,1/1,Number in DS,0
5,B1031.021b,1/1,Fraction Needed,0
5,B1031.021b,1/1,Fraction Damaged,0
5,B1031.021b,2,Number in DS,0
5,B1031.021b,2,Fraction Needed,0.0193570534644999
5,B1031.021b,2,Fraction Damaged,0


6,-,-,Has Unsafe Placard,False
6,-,-,Collapse,False
6,-,-,Residual Drift,False

6,B1031.001,-,Total in Building,20
6,B1031.001,-,Caused Unsafe Placard,False
6,B1031.001,1/0,Number in DS,0
6,B1031.001,1/0,Fraction Needed,0
6,B1031.001,1/0,Fraction Damaged,0
6,B1031.001,1/1,Number in DS,0
6,B1031.001,1/1,Fraction Needed,0
6,B1031.001,1/1,Fraction Damaged,0
6,B1031.001,2,Number in DS,0
6,B1031.001,2,Fraction Needed,0.0798505353010503
6,B1031.001,2,Fraction Damaged,0
6,B1031.001,3,Number in DS,0
6,B1031.001,3,Fraction Needed,0.144394561964745
6,B1031.001,3,Fraction Damaged,0

6,B1035.022,-,Total in Building,36
6,B1035.022,-,Caused Unsafe Placard,False
6,B1035.022,1,Number in DS,0
6,B1035.022,1,Fraction Needed,0
6,B1035.022,1,Fraction Damaged,0
6,B1035.022,2,Number in DS,0
6,B1035.022,2,Fraction Needed,0.94736433389766
6,B1035.022,2,Fraction Damaged,0
6,B1035.022,3,Number in DS,0
6,B1035.022,3,Fraction Needed,1
6,B1035.022,3,Fraction Damaged,0

6,B1035.032,-,Total in Building,144
6,B1035.032,-,Caused Unsafe Placard,False
6,B1035.032,1,Number in DS,0
6,B1035.032,1,Fraction Needed,0
6,B1035.032,1,Fraction Damaged,0
6,B1035.032,2,Number in DS,0
6,B1035.032,2,Fraction Needed,0.718102200595706
6,B1035.032,2,Fraction Damaged,0
6,B1035.032,3,Number in DS,0
6,B1035.032,3,Fraction Needed,0.395418328392788
6,B1035.032,3,Fraction Damaged,0

6,B2022.001,-,Total in Building,4050
6,B2022.001,-,Caused Unsafe Placard,False
6,B2022.001,1,Number in DS,0
6,B2022.001,1,Fraction Needed,0
6,B2022.001,1,Fraction Damaged,0
6,B2022.001,2,Number in DS,0
6,B2022.001,2,Fraction Needed,0.990201705460062
6,B2022.001,2,Fraction Damaged,0

6,B3011.011,-,Total in Building,549
6,B3011.011,-,Caused Unsafe Placard,False
6,B3011.011,1,Number in DS,0
6,B3011.011,1,Fraction Needed,0
6,B3011.011,1,Fraction Damaged,0
6,B3011.011,2,Number in DS,0
6,B3011.011,2,Fraction Needed,1
6,B3011.011,2,Fraction Damaged,0

6,B1031.021b,-,Total in Building,40
6,B1031.021b,-,Caused Unsafe Placard,False
6,B1031.021b,1/0,Number in DS,0
6,B1031.021b,1/0,Fraction Needed,0
6,B1031.021b,1/0,Fraction Damaged,0
6,B1031.021b,1/1,Number in DS,0
6,B1031.021b,1/1,Fraction Needed,0
6,B1031.021b,1/1,Fraction Damaged,0
6,B1031.021b,2,Number in DS,0
6,B1031.021b,2,Fraction Needed,0.00942303982128996
6,B1031.021b,2,Fraction Damaged,0


7,-,-,Has Unsafe Placard,True
7,-,-,Collapse,False
7,-,-,Residual Drift,False

7,B1031.001,-,Total in Building,20
7,B1031.001,-,Caused Unsafe Placard,False
7,B1031.001,1/0,Number in DS,0
7,B1031.001,1/0,Fraction Needed,0
7,B1031.001,1/0,Fraction Damaged,0
7,B1031.001,1/1,Number in DS,0
7,B1031.001,1/1,Fraction Needed,0
7,B1031.001,1/1,Fraction Damaged,0
7,B1031.001,2,Number in DS,0
7,B1031.001,2,Fraction Needed,0.308003931778397
7,B1031.001,2,Fraction Damaged,0
7,B1031.001,3,Number in DS,0
7,B1031.001,3,Fraction Needed,0.100814313318316
7,B1031.001,3,Fraction Damaged,0

7,B1035.022,-,Total in Building,36
7,B1035.022,-,Caused Unsafe Placard,False
7,B1035.022,1,Number in DS,0
7,B1035.022,1,Fraction Needed,0
7,B1035.022,1,Fraction Damaged,0
7,B1035.022,2,Number in DS,0
7,B1035.022,2,Fraction Needed,0.381076710577871
7,B1035.022,2,Fraction Damaged,0
7,B1035.022,3,Number in DS,0
7,B1035.022,3,Fraction Needed,0.394263027247271
7,B1035.022,3,Fraction Damaged,0

7,B1035.032,-,Total in Building,144
7,B1035.032,-,Caused Unsafe Placard,False
7,B1035.032,1,Number in DS,0
7,B1035.032,1,Fraction Needed,0
7,B1035.032,1,Fraction Damaged,0
7,B1035.032,2,Number in DS,0
7,B1035.032,2,Fraction Needed,0.763044076917515
7,B1035.032,2,Fraction Damaged,0
7,B1035.032,3,Number in DS,0
7,B1035.032,3,Fraction Needed,0.519355803053355
7,B1035.032,3,Fraction Damaged,0

7,B2022.001,-,Total in Building,4050
7,B2022.001,-,Caused Unsafe Placard,False
7,B2022.001,1,Number in DS,0
7,B2022.001,1,Fraction Needed,0
7,B2022.001,1,Fraction Damaged,0
7,B2022.001,2,Number in DS,0
7,B2022.001,2,Fraction Needed,1
7,B2022.001,2,Fraction Damaged,0

7,B3011.011,-,Total in Building,549
7,B3011.011,-,Caused Unsafe Placard,True
7,B3011.011,1,Number in DS,0
7,B3011.011,1,Fraction Needed,0
7,B3011.011,1,Fraction Damaged,0
7,B3011.011,2,Number in DS,260
7,B3011.011,2,Fraction Needed,0.271005544260788
7,B3011.011,2,Fraction Damaged,0.473588342440801

7,B1031.021b,-,Total in Building,40
7,B1031.021b,-,Caused Unsafe Placard,False
7,B1031.021b,1/0,Number in DS,0
7,B1031.021b,1/0,Fraction Needed,0
7,B1031.021b,1/0,Fraction Damaged,0
7,B1031.021b,1/1,Number in DS,0
7,B1031.021b,1/1,Fraction Needed,0
7,B1031.021b,1/1,Fraction Damaged,0
7,B1031.021b,2,Number in DS,0
7,B1031.021b,2,Fraction Needed,0.0169238289647088
7,B1031.021b,2,Fraction Damaged,0


8,-,-,Has Unsafe Placard,False
8,-,-,Collapse,False
8,-,-,Residual Drift,False

8,B1031.001,-,Total in Building,20
8,B1031.001,-,Caused Unsafe Placard,False
8,B1031.001,1/0,Number in DS,0
8,B1031.001,1/0,Fraction Needed,0
8,B1031.001,1/0,Fraction Damaged,0
8,B1031.001,1/1,Number in DS,0
8,B1031.001,1/1,Fraction Needed,0
8,B1031.001,1/1,Fraction Damaged,0
8,B1031.001,2,Number in DS,0
8,B1031.001,2,Fraction Needed,0.226364570714108
8,B1031.001,2,Fraction Damaged,0
8,B1031.001,3,Number in DS,0
8,B1031.001,3,Fraction Needed,0.143598749818492
8,B1031.001,3,Fraction Damaged,0

8,B1035.022,-,Total in Building,36
8,B1035.022,-,Caused Unsafe Placard,False
8,B1035.022,1,Number in DS,0
8,B1035.022,1,Fraction Needed,0
8,B1035.022,1,Fraction Damaged,0
8,B1035.022,2,Number in DS,0
8,B1035.022,2,Fraction Needed,0.515525276922122
8,B1035.022,2,Fraction Damaged,0
8,B1035.022,3,Number in DS,0
8,B1035.022,3,Fraction Needed,0.450901841481457
8,B1035.022,3,Fraction Damaged,0

8,B1035.032,-,Total in Building,144
8,B1035.032,-,Caused Unsafe Placard,False
8,B1035.032,1,Number in DS,0
8,B1035.032,1,Fraction Needed,0
8,B1035.032,1,Fraction Damaged,0
8,B1035.032,2,Number in DS,0
8,B1035.032,2,Fraction Needed,0.404098203818281
8,B1035.032,2,Fraction Damaged,0
8,B1035.032,3,Number in DS,0
8,B1035.032,3,Fraction Needed,0.421931353071677
8,B1035.032,3,Fraction Damaged,0

8,B2022.001,-,Total in Building,4050
8,B2022.001,-,Caused Unsafe Placard,False
8,B2022.001,1,Number in DS,0
8,B2022.001,1,Fraction Needed,0
8,B2022.001,1,Fraction Damaged,0
8,B2022.001,2,Number in DS,0
8,B2022.001,2,Fraction Needed,0.55225854705378
8,B2022.001,2,Fraction Damaged,0

8,B3011.011,-,Total in Building,549
8,B3011.011,-,Caused Unsafe Placard,False
8,B3011.011,1,Number in DS,0
8,B3011.011,1,Fraction Needed,0
8,B3011.011,1,Fraction Damaged,0
8,B3011.011,2,Number in DS,0
8,B3011.011,2,Fraction Needed,0.27169246951381
8,B3011.011,2,Fraction Damaged,0

8,B1031.021b,-,Total in Building,40
8,B1031.021b,-,Caused Unsafe Placard,False
8,B1031.021b,1/0,Number in DS,0
8,B1031.021b,1/0,Fraction Needed,0
8,B1031.021b,1/0,Fraction Damaged,0
8,B1031.021b,1/1,Number in DS,0
8,B1031.021b,1/1,Fraction Needed,0
8,B1031.021b,1/1,Fraction Damaged,0
8,B1031.021b,2,Number in DS,0
8,B1031.021b,2,Fraction Needed,0.0137235022562662
8,B1031.021b,2,Fraction Damaged,0


9,-,-,Has Unsafe Placard,False
9,-,-,Collapse,False
9,-,-,Residual Drift,False

9,B1031.001,-,Total in Building,20
9,B1031.001,-,Caused Unsafe Placard,False
9,B1031.001,1/0,Number in DS,0
9,B1031.001,1/0,Fraction Needed,0
9,B1031.001,1/0,Fraction Damaged,0
9,B1031.001,1/1,Number in DS,0
9,B1031.001,1/1,Fraction Needed,0
9,B1031.001,1/1,Fraction Damaged,0
9,B1031.001,2,Number in DS,0
9,B1031.001,2,Fraction Needed,0.258603436028128
9,B1031.001,2,Fraction Damaged,0
9,B1031.001,3,Number in DS,0
9,B1031.001,3,Fraction Needed,0.0601335746349894
9,B1031.001,3,Fraction Damaged,0

9,B1035.022,-,Total in Building,36
9,B1035.022,-,Caused Unsafe Placard,False
9,B1035.022,1,Number in DS,0
9,B1035.022,1,Fraction Needed,0
9,B1035.022,1,Fraction Damaged,0
9,B1035.022,2,Number in DS,0
9,B1035.022,2,Fraction Needed,0.363945538494936
9,B1035.022,2,Fraction Damaged,0
9,B1035.022,3,Number in DS,0
9,B1035.022,3,Fraction Needed,0.416551061260626
9,B1035.022,3,Fraction Damaged,0

9,B1035.032,-,Total in Building,144
9,B1035.032,-,Caused Unsafe Placard,False
9,B1035.032,1,Number in DS,0
9,B1035.032,1,Fraction Needed,0
9,B1035.032,1,Fraction Damaged,0
9,B1035.032,2,Number in DS,0
9,B1035.032,2,Fraction Needed,0.438233766694049
9,B1035.032,2,Fraction Damaged,0
9,B1035.032,3,Number in DS,0
9,B1035.032,3,Fraction Needed,0.260051223923545
9,B1035.032,3,Fraction Damaged,0

9,B2022.001,-,Total in Building,4050
9,B2022.001,-,Caused Unsafe Placard,False
9,B2022.001,1,Number in DS,0
9,B2022.001,1,Fraction Needed,0
9,B2022.001,1,Fraction Damaged,0
9,B2022.001,2,Number in DS,0
9,B2022.001,2,Fraction Needed,0.346657050636934
9,B2022.001,2,Fraction Damaged,0

9,B3011.011,-,Total in Building,549
9,B3011.011,-,Caused Unsafe Placard,False
9,B3011.011,1,Number in DS,0
9,B3011.011,1,Fraction Needed,0
9,B3011.011,1,Fraction Damaged,0
9,B3011.011,2,Number in DS,15
9,B3011.011,2,Fraction Needed,0.453427431665842
9,B3011.011,2,Fraction Damaged,0.0273224043715847

9,B1031.021b,-,Total in Building,40
9,B1031.021b,-,Caused Unsafe Placard,False
9,B1031.021b,1/0,Number in DS,0
9,B1031.021b,1/0,Fraction Needed,0
9,B1031.021b,1/0,Fraction Damaged,0
9,B1031.021b,1/1,Number in DS,0
9,B1031.021b,1/1,Fraction Needed,0
9,B1031.021b,1/1,Fraction Damaged,0
9,B1031.021b,2,Number in DS,0
9,B1031.021b,2,Fraction Needed,0.0290103263392357
9,B1031.021b,2,Fraction Damaged,0


10,-,-,Has Unsafe Placard,False
10,-,-,Collapse,False
10,-,-,Residual Drift,False

10,B1031.001,-,Total in Building,20
10,B1031.001,-,Caused Unsafe Placard,False
10,B1031.001,1/0,Number in DS,0
10,B1031.001,1/0,Fraction Needed,0
10,B1031.001,1/0,Fraction Damaged,0
10,B1031.001,1/1,Number in DS,0
10,B1031.001,1/1,Fraction Needed,0
10,B1031.001,1/1,Fraction Damaged,0
10,B1031.001,2,Number in DS,0
10,B1031.001,2,Fraction Needed,0.222515897672264
10,B1031.001,2,Fraction Damaged,0
10,B1031.001,3,Number in DS,0
10,B1031.001,3,Fraction Needed,0.0991416263022213
10,B1031.001,3,Fraction Damaged,0

10,B1035.022,-,Total in Building,36
10,B1035.022,-,Caused Unsafe Placard,False
10,B1035.022,1,Number in DS,0
10,B1035.022,1,Fraction Needed,0
10,B1035.022,1,Fraction Damaged,0
10,B1035.022,2,Number in DS,0
10,B1035.022,2,Fraction Needed,0.483707684083414
10,B1035.022,2,Fraction Damaged,0
10,B1035.022,3,Number in DS,0
10,B1035.022,3,Fraction Needed,0.364136715061024
10,B1035.022,3,Fraction Damaged,0

10,B1035.032,-,Total in Building,144
10,B1035.032,-,Caused Unsafe Placard,False
10,B1035.032,1,Number in DS,0
10,B1035.032,1,Fraction Needed,0
10,B1035.032,1,Fraction Damaged,0
10,B1035.032,2,Number in DS,0
10,B1035.032,2,Fraction Needed,0.326366669522645
10,B1035.032,2,Fraction Damaged,0
10,B1035.032,3,Number in DS,0
10,B1035.032,3,Fraction Needed,0.636777441817062
10,B1035.032,3,Fraction Damaged,0

10,B2022.001,-,Total in Building,4050
10,B2022.001,-,Caused Unsafe Placard,False
10,B2022.001,1,Number in DS,0
10,B2022.001,1,Fraction Needed,0
10,B2022.001,1,Fraction Damaged,0
10,B2022.001,2,Number in DS,0
10,B2022.001,2,Fraction Needed,1
10,B2022.001,2,Fraction Damaged,0

10,B3011.011,-,Total in Building,549
10,B3011.011,-,Caused Unsafe Placard,False
10,B3011.011,1,Number in DS,0
10,B3011.011,1,Fraction Needed,0
10,B3011.011,1,Fraction Damaged,0
10,B3011.011,2,Number in DS,44
10,B3011.011,2,Fraction Needed,0.481999180601052
10,B3011.011,2,Fraction Damaged,0.0801457194899818

10,B1031.021b,-,Total in Building,40
10,B1031.021b,-,Caused Unsafe Placard,False
10,B1031.021b,1/0,Number in DS,0
10,B1031.021b,1/0,Fraction Needed,0
10,B1031.021b,1/0,Fraction Damaged,0
10,B1031.021b,1/1,Number in DS,0
