Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1,Real 2,Real 3,Real 4,Real 5,Real 6,Real 7,Real 8,Real 9,Real 10,Real 11,Real 12,Real 13,Real 14,Real 15,Real 16,Real 17,Real 18,Real 19,Real 20,Real 21,Real 22,Real 23,Real 24,Real 25,Real 26,Real 27,Real 28,Real 29,Real 30,Real 31,Real 32,Real 33,Real 34,Real 35,Real 36,Real 37,Real 38,Real 39,Real 40,Real 41,Real 42,Real 43,Real 44,Real 45,Real 46,Real 47,Real 48,Real 49,Real 50,Real 51,Real 52,Real 53,Real 54,Real 55,Real 56,Real 57,Real 58,Real 59,Real 60,Real 61,Real 62,Real 63,Real 64,Real 65,Real 66,Real 67,Real 68,Real 69,Real 70,Real 71,Real 72,Real 73,Real 74,Real 75,Real 76,Real 77,Real 78,Real 79,Real 80,Real 81,Real 82,Real 83,Real 84,Real 85,Real 86,Real 87,Real 88,Real 89,Real 90,Real 91,Real 92,Real 93,Real 94,Real 95,Real 96,Real 97,Real 98,Real 99,Real 100
1,B1031.011b,1/1,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1031.011b,1/1,Fraction Needed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1031.011b,1/1,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1031.011b,2,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1031.011b,2,Fraction Needed,0.220814452963871,0.264052899177409,0.211689261978948,0.14566187714811,0.128169677728321,0.196366082836778,0.220739822801536,0.144725232423018,0.393319781369937,0.191125084938659,0.275175466176874,0.0853885804856763,0.219161426677511,0.319536414000992,0.332952396667873,0.156453663217222,0.174671522485901,0.202822637875693,0.130263253025259,0.486006419437736,0.568924455037925,0.235208883129985,0.164772354031852,0.134679866862341,0.317195712015829,0.136278140708211,0.09448668590611,0.421525169773121,0.128183179973722,0.209866781091888,0.13566971698318,0.221893804230401,0.39772490894447,0.366263150267765,0.238015465113299,0.347367153000434,0.438845950503279,0.316235746315961,0.642953351348087,0.110191315023492,0.255760885776952,0.175952309644073,0.311006336666891,0.493105874899621,0.192062568320061,0.250549828064164,0.223295985949647,0.230444330382711,0.364053158788243,0.149338120282578,0.135517631026812,0.216741923677577,0.17449115998697,0.288652839613389,0.446603385892556,0.248617650418306,0.321184119188873,0.318499578596816,0.449572366486831,0.356046317402542,0.568113956915739,0.183259318669084,0.410337924299065,0.480493337766509,0.19834594496172,0.310422150132754,0.677731704830917,0.23295371413241,0.218787395280645,0.508709585059681,0.217753273895049,0.307947846881809,0.528107609670636,0.118050908605425,0.378818930182245,0.285299009999487,0.282328650660522,0.242003351104002,0.2015428767631,0.202737400709054,0.211645875516212,0.219633893294122,0.411425449034121,0.2214760169305,0.259275872995379,0.271645867257703,0.17445683723168,0.587430617682844,0.185621256119791,0.129472354349089,0.219884144365171,0.121641602402143,0.478921912412163,0.1802070620427,0.219140903976399,0.299153756990024,0.206206046149523,0.131222701224066,0.435571250925825,0.144415196740045
1,B1031.011b,2,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1031.011b,3,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1031.011b,3,Fraction Needed,0.0819276124485016,0.38637161731915,0.269076477384847,0.168852247644732,0.0862416324120178,0.267318704631996,0.170322518303083,0.18242731660571,0.104892199883965,0.285015127804731,0.163824269827656,0.0414172601368357,0.112017650745745,0.242775945799763,0.249163975027551,0.0929743287591215,0.0825576702181137,0.176918805151509,0.149064861131186,0.135732783038792,0.0533134326451786,0.0718873236841203,0.247288097801527,0.163649643534243,0.0744927920498202,0.190889729008757,0.0591171332681882,0.0749317688502101,0.134885700802763,0.0716119178951537,0.0439475889208311,0.0451318304874098,0.201030542666097,0.115663818086805,0.166617669899979,0.0687259069482906,0.0745297134064529,0.0948465107260349,0.175547712750735,0.270223274731359,0.105916071522579,0.0777891843448748,0.0889252537669014,0.082658437106014,0.136976759251413,0.178580252849464,0.0875174750796609,0.0538982390982904,0.167861117073272,0.0796780965955238,0.0929204980870756,0.116653336721385,0.235708458282277,0.137846170710607,0.215046084806629,0.0663067396613789,0.0298757503376307,0.0494915295383732,0.0706946894103974,0.07084580152566,0.102499087176795,0.0566827775727375,0.0790898718899091,0.0763038544424831,0.27387270108482,0.126437295021549,0.0684013748380128,0.414010530011475,0.117552963329445,0.0216081141191149,0.0698716150897966,0.160793368606478,0.0487617056990546,0.0697514293139185,0.0813037077777116,0.0773836340434794,0.142860647470658,0.074539067198706,0.118275728635442,0.13866410114559,0.161126992980676,0.0914350447373496,0.218310812589688,0.0727077996663284,0.0819812248154843,0.317160367508102,0.0374221142270735,0.0894476028802497,0.129229182180853,0.054108345764875,0.039958082588615,0.139867735897572,0.0788897511376833,0.0766335200375987,0.0403709200207004,0.0569455127318262,0.0990742146820417,0.202970034915934,0.122414000616264,0.127194236233113
1,B1031.011b,3,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1,B1033.001b,-,Total in Building,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1,B1033.001b,-,Caused Unsafe Placard,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,B1033.001b,1,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,1,Fraction Needed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,1,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,2,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,2,Fraction Needed,0.897633533930391,0.935776767490867,0.383817560761738,0.241878865033259,0.714557744040856,0.93696814065278,1,0.917504658252526,0.274866246295214,0.882823138826679,1,0.543989505796955,0.948756190112049,0.408503103375114,0.829070554074809,0.487179154048072,0.570859800503194,1,0.881109826167705,0.522045534348687,0.574515727846364,0.750363213434715,0.337404015991529,0.752498991307174,0.346268443042101,0.600377554975889,0.976390438543392,1,0.872022152626823,1,0.406854351940585,0.324677121437705,0.676404580370652,0.806168607312101,1,0.461524846758574,0.596400213633379,0.838460186562117,0.597034901504243,0.732579779566641,0.99058124433902,0.703990799684087,0.870632145441658,1,0.493149672399821,0.552717790157455,0.444158644788158,0.244540789576133,0.290424941789892,1,0.479271418917174,0.545078696281574,0.793030212187519,0.70992892826192,0.48259073100117,0.508120187617079,0.762687781996203,0.874444715555938,0.546654763107938,0.477379814069504,0.454994028045958,0.556631803482552,0.622277798515363,1,0.390838198863789,1,0.354324694981164,0.639728361851861,0.41189453193668,1,1,0.614660256430245,0.638846954303259,1,0.35191542347187,1,0.450739592068095,0.40123082171664,0.763621455057203,0.515530927923799,0.69809442000036,0.729632561547812,0.575737316889716,1,1,0.756170039382498,0.521973177364818,0.334720470282864,1,1,0.439277535093287,0.77353154155064,0.193773794673334,0.971510871700594,0.378391857790359,1,0.526582828404343,1,0.782559059860261,0.76414541798871
1,B1033.001b,2,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,3,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,3,Fraction Needed,0.826967399849722,0.4753553791604,0.318786987432204,0.970032682380808,0.175552063600537,0.552663435803441,0.454263637613249,0.511332077867095,0.237273786421687,0.204237903294223,0.866182032370294,0.421230282663691,0.777858051912957,0.271818814447519,0.496428451758487,0.221493949932478,0.316681428929771,0.246841680208824,0.7222776231159,0.26576773385186,0.291920452497252,0.421286235057303,0.585324073908731,0.359727579031232,0.417495042010689,0.23282806553727,0.696922204302627,0.479159245541786,0.795560775331121,0.519299282249663,0.304511313567085,0.207032755974729,0.486150874251016,0.51758184896844,0.447904615971968,0.518403580691547,0.339400719256484,0.534005737824239,0.351041526185874,0.20728003932819,0.908792536939271,0.711312612422334,0.186255296403322,0.428637983783385,0.384693216445683,0.252082805350526,0.821309121491418,0.531956954438691,0.222396234864043,0.260321605803093,0.233885792228935,0.673841494647096,0.572320434262918,0.602415897858322,0.579976358367392,0.366256980178797,0.271789190857961,0.366962218030272,0.36335845054328,0.202665511169148,0.488728841523332,0.602485812406555,0.215362730174475,0.229778518817555,0.482759757276209,0.225921458432092,0.733180397574025,0.787251926405046,0.244891130494566,0.400256051011708,0.440004291927423,0.492480579089569,0.87130646046433,0.258084314495855,1,0.150982651371072,0.499816951823624,0.606362683461715,0.304666746586918,0.518143814962719,0.626454322407041,1,0.359992129817253,0.501213382290153,0.171755939653256,0.329057967197446,0.228621248022515,0.382668704097207,1,0.488396706453483,0.274878864676699,0.292607510942419,0.419294675255684,0.542926781586074,0.964807405943652,0.269419825181064,0.367851361344015,0.33403844760659,0.589113316069237,0.433471739748823
1,B1033.001b,3,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,4,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1033.001b,4,Fraction Needed,0.103580885449898,0.126624030282915,0.212077423669423,0.302499301577509,0.119640786299884,0.288972058167011,0.135602863504088,0.19922522195388,0.0899409831027066,0.213411366205583,0.0993370306337875,0.0957663990537188,0.177915734869756,0.110060483837327,0.0630202597463141,0.1247421580074,0.336194627184088,0.276046569678827,0.816615686467167,0.256363878359458,0.0558864333003578,0.509094993387263,0.208614337386344,0.273025911264025,0.118849336329537,0.137906503857546,0.213832760573058,1,0.225152118932022,0.149965133624243,0.223407286321206,0.238538675975844,0.153941478608746,0.154079204686696,0.128580232489973,0.427785909548251,0.436768036803378,0.264071309740011,0.227883322229582,0.314427546362698,0.135364672616136,0.211329631285706,0.231948696582035,0.243589721274893,0.438947151142704,0.120215006331916,0.627299921866419,0.118511176139248,0.193933168743345,0.069397445514675,0.18512856271762,0.350167443932867,0.460852431089883,0.161366690613689,0.123033053390413,0.251091487941873,0.0974027670619066,0.126843559629736,0.38379929617151,0.446306914439554,0.141371701191915,0.24291157803032,0.103635434917756,0.142329117896537,0.119659412402165,0.115500177451682,0.204434667824104,0.18727387176216,0.11156749236711,0.146084461499607,0.136840148901111,0.165904063437371,0.44916215523014,0.211878714173011,0.228078727810002,0.150250583250726,0.122602114203901,0.49786576204954,0.205146118929394,0.420806735238638,0.196606638961321,0.351922412601406,0.146839526422037,0.261863876633037,0.444196497434428,0.0955573652637126,0.130538617295893,0.136597434736344,0.166504844608723,0.312018817520255,0.228518004753029,0.131512497589112,0.217797313628803,0.113989584200063,0.212226257025394,0.0947533352706418,0.192973304990395,0.229024934073511,0.39817463283106,0.109394642291386
1,B1033.001b,4,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1,B1035.022,-,Total in Building,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1,B1035.022,-,Caused Unsafe Placard,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,B1035.022,1,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1035.022,1,Fraction Needed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1035.022,1,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1035.022,2,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1035.022,2,Fraction Needed,0.904990588496509,0.332316646622308,0.420308346268539,0.399231294819883,0.731597440021527,0.404401746162818,0.446760499932542,0.335329239120604,0.537269625739369,0.537985937159432,0.819949772021303,0.415689819060719,0.614944261730296,0.485387134723897,0.492421257685467,0.458522241975228,0.351128937745715,0.60628053915138,0.386779098971684,0.59597743807225,0.641474657534882,0.352511329005541,1,0.383799662339347,0.621392766889583,0.302392849301143,0.505714920752693,0.776752574594388,0.238896296066302,0.274294658237934,0.302711560483108,0.994346919178682,0.518187350720222,0.488979805119484,0.485889154028796,0.853279277860774,0.578319398186765,0.406826653913466,0.530010305903975,0.523302679768841,0.295629103868324,0.160493585649002,0.514485257119159,0.400672880215795,1,0.519235667079792,0.416945460009652,0.553629368474108,0.313097022823064,0.130069537288998,0.430560159541827,0.905994492653664,0.541673142616818,0.68548644585341,0.287938356916033,0.457772087442587,0.531677021715887,0.439376678426148,0.23032989760093,0.229581404810154,0.356159890746258,0.602227412572097,0.470866442320063,0.785218561088281,0.445368610180726,0.300628079858609,0.438763480044255,0.384724805523439,0.632237221387503,0.925702015742765,0.656286273252922,0.371048106335141,0.202297846618271,0.4735102444605,0.523591780149838,0.711302683853355,0.678722999447696,0.458693567924468,0.312130610492118,0.425171222567746,0.753106059949586,0.333626474022459,0.499971594130757,0.637656218086069,0.501305072475346,0.516158260439592,0.502605153362822,0.535942202873512,0.580100867685252,0.387627868448048,0.386059379094582,0.295985616852139,0.691935741014852,0.161041058443625,0.266740756747431,0.684245238626984,0.172736885807413,0.32522682039215,1,0.592557030985307
1,B1035.022,2,Fraction Damaged,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B1035.022,3,Number in DS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
