Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1
4,B1035.032,1,Fraction Damaged,0
4,B1035.032,2,Number in DS,0
4,B1035.032,2,Fraction Needed,0.776647551820532
4,B1035.032,2,Fraction Damaged,0
4,B1035.032,3,Number in DS,0
4,B1035.032,3,Fraction Needed,0.491277797100302
4,B1035.032,3,Fraction Damaged,0

4,B2022.001,-,Total in Building,4050
4,B2022.001,-,Caused Unsafe Placard,False
4,B2022.001,1,Number in DS,0
4,B2022.001,1,Fraction Needed,0
4,B2022.001,1,Fraction Damaged,0
4,B2022.001,2,Number in DS,0
4,B2022.001,2,Fraction Needed,1
4,B2022.001,2,Fraction Damaged,0

4,B3011.011,-,Total in Building,549
4,B3011.011,-,Caused Unsafe Placard,False
4,B3011.011,1,Number in DS,0
4,B3011.011,1,Fraction Needed,0
4,B3011.011,1,Fraction Damaged,0
4,B3011.011,2,Number in DS,0
4,B3011.011,2,Fraction Needed,0.536824059855436
4,B3011.011,2,Fraction Damaged,0

4,B1031.021b,-,Total in Building,40
4,B1031.021b,-,Caused Unsafe Placard,False
4,B1031.021b,1/0,Number in DS,0
4,B1031.021b,1/0,Fraction Needed,0
4,B1031.021b,1/0,Fraction Damaged,0
4,B1031.021b,1/1,Number in DS,0
4,B1031.021b,1/1,Fraction Needed,0
4,B1031.021b,1/1,Fraction Damaged,0
4,B1031.021b,2,Number in DS,0
4,B1031.021b,2,Fraction Needed,0.0219046536315787
4,B1031.021b,2,Fraction Damaged,0


5,-,-,Has Unsafe Placard,False
5,-,-,Collapse,False
5,-,-,Residual Drift,False

5,B1031.001,-,Total in Building,20
5,B1031.001,-,Caused Unsafe Placard,False
5,B1031.001,1/0,Number in DS,0
5,B1031.001,1/0,Fraction Needed,0
5,B1031.001,1/0,Fraction Damaged,0
5,B1031.001,1/1,Number in DS,0
5,B1031.001,1/1,Fraction Needed,0
5,B1031.001,1/1,Fraction Damaged,0
5,B1031.001,2,Number in DS,0
5,B1031.001,2,Fraction Needed,0.196672605301317
5,B1031.001,2,Fraction Damaged,0
5,B1031.001,3,Number in DS,0
5,B1031.001,3,Fraction Needed,0.0875856444864656
5,B1031.001,3,Fraction Damaged,0

5,B1035.022,-,Total in Building,36
5,B1035.022,-,Caused Unsafe Placard,False
5,B1035.022,1,Number in DS,0
5,B1035.022,1,Fraction Needed,0
5,B1035.022,1,Fraction Damaged,0
5,B1035.022,2,Number in DS,0
5,B1035.022,2,Fraction Needed,0.586126021017036
5,B1035.022,2,Fraction Damaged,0
5,B1035.022,3,Number in DS,0
5,B1035.022,3,Fraction Needed,0.294643389944277
5,B1035.022,3,Fraction Damaged,0

5,B1035.032,-,Total in Building,144
5,B1035.032,-,Caused Unsafe Placard,False
5,B1035.032,1,Number in DS,0
5,B1035.032,1,Fraction Needed,0
5,B1035.032,1,Fraction Damaged,0
5,B1035.032,2,Number in DS,0
5,B1035.032,2,Fraction Needed,0.396158143610062
5,B1035.032,2,Fraction Damaged,0
5,B1035.032,3,Number in DS,0
5,B1035.032,3,Fraction Needed,0.971715150420232
5,B1035.032,3,Fraction Damaged,0

5,B2022.001,-,Total in Building,4050
5,B2022.001,-,Caused Unsafe Placard,False
5,B2022.001,1,Number in DS,0
5,B2022.001,1,Fraction Needed,0
5,B2022.001,1,Fraction Damaged,0
5,B2022.001,2,Number in DS,0
5,B2022.001,2,Fraction Needed,0.983258560333072
5,B2022.001,2,Fraction Damaged,0

5,B3011.011,-,Total in Building,549
5,B3011.011,-,Caused Unsafe Placard,False
5,B3011.011,1,Number in DS,0
5,B3011.011,1,Fraction Needed,0
5,B3011.011,1,Fraction Damaged,0
5,B3011.011,2,Number in DS,12
5,B3011.011,2,Fraction Needed,1
5,B3011.011,2,Fraction Damaged,0.0218579234972678

5,B1031.021b,-,Total in Building,40
5,B1031.021b,-,Caused Unsafe Placard,False
5,B1031.021b,1/0,Number in DS,0
5,B1031.021b,1/0,Fraction Needed,0
5,B1031.021b,1/0,Fraction Damaged,0
5,B1031.021b,1/1,Number in DS,0
5,B1031.021b,1/1,Fraction Needed,0
5,B1031.021b,1/1,Fraction Damaged,0
5,B1031.021b,2,Number in DS,0
5,B1031.021b,2,Fraction Needed,0.0225004061160439
5,B1031.021b,2,Fraction Damaged,0


6,-,-,Has Unsafe Placard,False
6,-,-,Collapse,False
6,-,-,Residual Drift,False

6,B1031.001,-,Total in Building,20
6,B1031.001,-,Caused Unsafe Placard,False
6,B1031.001,1/0,Number in DS,0
6,B1031.001,1/0,Fraction Needed,0
6,B1031.001,1/0,Fraction Damaged,0
6,B1031.001,1/1,Number in DS,0
6,B1031.001,1/1,Fraction Needed,0
6,B1031.001,1/1,Fraction Damaged,0
6,B1031.001,2,Number in DS,0
6,B1031.001,2,Fraction Needed,0.38328877417181
6,B1031.001,2,Fraction Damaged,0
6,B1031.001,3,Number in DS,0
6,B1031.001,3,Fraction Needed,0.0977280577800924
6,B1031.001,3,Fraction Damaged,0

6,B1035.022,-,Total in Building,36
6,B1035.022,-,Caused Unsafe Placard,False
6,B1035.022,1,Number in DS,0
6,B1035.022,1,Fraction Needed,0
6,B1035.022,1,Fraction Damaged,0
6,B1035.022,2,Number in DS,0
6,B1035.022,2,Fraction Needed,0.265316715509102
6,B1035.022,2,Fraction Damaged,0
6,B1035.022,3,Number in DS,0
6,B1035.022,3,Fraction Needed,0.279953751420225
6,B1035.022,3,Fraction Damaged,0

6,B1035.032,-,Total in Building,144
6,B1035.032,-,Caused Unsafe Placard,False
6,B1035.032,1,Number in DS,0
6,B1035.032,1,Fraction Needed,0
6,B1035.032,1,Fraction Damaged,0
6,B1035.032,2,Number in DS,0
6,B1035.032,2,Fraction Needed,1
6,B1035.032,2,Fraction Damaged,0
6,B1035.032,3,Number in DS,0
6,B1035.032,3,Fraction Needed,0.550570417826607
6,B1035.032,3,Fraction Damaged,0

6,B2022.001,-,Total in Building,4050
6,B2022.001,-,Caused Unsafe Placard,False
6,B2022.001,1,Number in DS,0
6,B2022.001,1,Fraction Needed,0
6,B2022.001,1,Fraction Damaged,0
6,B2022.001,2,Number in DS,0
6,B2022.001,2,Fraction Needed,1
6,B2022.001,2,Fraction Damaged,0

6,B3011.011,-,Total in Building,549
6,B3011.011,-,Caused Unsafe Placard,False
6,B3011.011,1,Number in DS,0
6,B3011.011,1,Fraction Needed,0
6,B3011.011,1,Fraction Damaged,0
6,B3011.011,2,Number in DS,167
6,B3011.011,2,Fraction Needed,0.307134989980923
6,B3011.011,2,Fraction Damaged,0.304189435336976

6,B1031.021b,-,Total in Building,40
6,B1031.021b,-,Caused Unsafe Placard,False
6,B1031.021b,1/0,Number in DS,0
6,B1031.021b,1/0,Fraction Needed,0
6,B1031.021b,1/0,Fraction Damaged,0
6,B1031.021b,1/1,Number in DS,0
6,B1031.021b,1/1,Fraction Needed,0
6,B1031.021b,1/1,Fraction Damaged,0
6,B1031.021b,2,Number in DS,0
6,B1031.021b,2,Fraction Needed,0.0131918995865642
6,B1031.021b,2,Fraction Damaged,0


7,-,-,Has Unsafe Placard,False
7,-,-,Collapse,False
7,-,-,Residual Drift,False

7,B1031.001,-,Total in Building,20
7,B1031.001,-,Caused Unsafe Placard,False
7,B1031.001,1/0,Number in DS,0
7,B1031.001,1/0,Fraction Needed,0
7,B1031.001,1/0,Fraction Damaged,0
7,B1031.001,1/1,Number in DS,0
7,B1031.001,1/1,Fraction Needed,0
7,B1031.001,1/1,Fraction Damaged,0
7,B1031.001,2,Number in DS,0
7,B1031.001,2,Fraction Needed,0.165405538742286
7,B1031.001,2,Fraction Damaged,0
7,B1031.001,3,Number in DS,0
7,B1031.001,3,Fraction Needed,0.126019416076046
7,B1031.001,3,Fraction Damaged,0

7,B1035.022,-,Total in Building,36
7,B1035.022,-,Caused Unsafe Placard,False
7,B1035.022,1,Number in DS,0
7,B1035.022,1,Fraction Needed,0
7,B1035.022,1,Fraction Damaged,0
7,B1035.022,2,Number in DS,0
7,B1035.022,2,Fraction Needed,0.3846942251497
7,B1035.022,2,Fraction Damaged,0
7,B1035.022,3,Number in DS,0
7,B1035.022,3,Fraction Needed,0.320198635030757
7,B1035.022,3,Fraction Damaged,0

7,B1035.032,-,Total in Building,144
7,B1035.032,-,Caused Unsafe Placard,False
7,B1035.032,1,Number in DS,0
7,B1035.032,1,Fraction Needed,0
7,B1035.032,1,Fraction Damaged,0
7,B1035.032,2,Number in DS,0
7,B1035.032,2,Fraction Needed,0.380677383893169
7,B1035.032,2,Fraction Damaged,0
7,B1035.032,3,Number in DS,0
7,B1035.032,3,Fraction Needed,0.767990910572684
7,B1035.032,3,Fraction Damaged,0

7,B2022.001,-,Total in Building,4050
7,B2022.001,-,Caused Unsafe Placard,False
7,B2022.001,1,Number in DS,0
7,B2022.001,1,Fraction Needed,0
7,B2022.001,1,Fraction Damaged,0
7,B2022.001,2,Number in DS,0
7,B2022.001,2,Fraction Needed,0.747315031632095
7,B2022.001,2,Fraction Damaged,0

7,B3011.011,-,Total in Building,549
7,B3011.011,-,Caused Unsafe Placard,False
7,B3011.011,1,Number in DS,0
7,B3011.011,1,Fraction Needed,0
7,B3011.011,1,Fraction Damaged,0
7,B3011.011,2,Number in DS,0
7,B3011.011,2,Fraction Needed,0.584001044170465
7,B3011.011,2,Fraction Damaged,0

7,B1031.021b,-,Total in Building,40
7,B1031.021b,-,Caused Unsafe Placard,False
7,B1031.021b,1/0,Number in DS,0
7,B1031.021b,1/0,Fraction Needed,0
7,B1031.021b,1/0,Fraction Damaged,0
7,B1031.021b,1/1,Number in DS,0
7,B1031.021b,1/1,Fraction Needed,0
7,B1031.021b,1/1,Fraction Damaged,0
7,B1031.021b,2,Number in DS,0
7,B1031.021b,2,Fraction Needed,0.0105407919112377
7,B1031.021b,2,Fraction Damaged,0


8,-,-,Has Unsafe Placard,False
8,-,-,Collapse,False
8,-,-,Residual Drift,False

8,B1031.001,-,Total in Building,20
8,B1031.001,-,Caused Unsafe Placard,False
8,B1031.001,1/0,Number in DS,0
8,B1031.001,1/0,Fraction Needed,0
8,B1031.001,1/0,Fraction Damaged,0
8,B1031.001,1/1,Number in DS,0
8,B1031.001,1/1,Fraction Needed,0
8,B1031.001,1/1,Fraction Damaged,0
8,B1031.001,2,Number in DS,0
8,B1031.001,2,Fraction Needed,0.371950569380222
8,B1031.001,2,Fraction Damaged,0
8,B1031.001,3,Number in DS,0
8,B1031.001,3,Fraction Needed,0.206792800929035
8,B1031.001,3,Fraction Damaged,0

8,B1035.022,-,Total in Building,36
8,B1035.022,-,Caused Unsafe Placard,False
8,B1035.022,1,Number in DS,0
8,B1035.022,1,Fraction Needed,0
8,B1035.022,1,Fraction Damaged,0
8,B1035.022,2,Number in DS,0
8,B1035.022,2,Fraction Needed,0.167419580311631
8,B1035.022,2,Fraction Damaged,0
8,B1035.022,3,Number in DS,0
8,B1035.022,3,Fraction Needed,0.977212183379818
8,B1035.022,3,Fraction Damaged,0

8,B1035.032,-,Total in Building,144
8,B1035.032,-,Caused Unsafe Placard,False
8,B1035.032,1,Number in DS,0
8,B1035.032,1,Fraction Needed,0
8,B1035.032,1,Fraction Damaged,0
8,B1035.032,2,Number in DS,0
8,B1035.032,2,Fraction Needed,1
8,B1035.032,2,Fraction Damaged,0
8,B1035.032,3,Number in DS,0
8,B1035.032,3,Fraction Needed,0.67995552810655
8,B1035.032,3,Fraction Damaged,0

8,B2022.001,-,Total in Building,4050
8,B2022.001,-,Caused Unsafe Placard,False
8,B2022.001,1,Number in DS,0
8,B2022.001,1,Fraction Needed,0
8,B2022.001,1,Fraction Damaged,0
8,B2022.001,2,Number in DS,0
8,B2022.001,2,Fraction Needed,0.922218576216318
8,B2022.001,2,Fraction Damaged,0

8,B3011.011,-,Total in Building,549
8,B3011.011,-,Caused Unsafe Placard,False
8,B3011.011,1,Number in DS,0
8,B3011.011,1,Fraction Needed,0
8,B3011.011,1,Fraction Damaged,0
8,B3011.011,2,Number in DS,0
8,B3011.011,2,Fraction Needed,0.681425148780522
8,B3011.011,2,Fraction Damaged,0

8,B1031.021b,-,Total in Building,40
8,B1031.021b,-,Caused Unsafe Placard,False
8,B1031.021b,1/0,Number in DS,0
8,B1031.021b,1/0,Fraction Needed,0
8,B1031.021b,1/0,Fraction Damaged,0
8,B1031.021b,1/1,Number in DS,0
8,B1031.021b,1/1,Fraction Needed,0
8,B1031.021b,1/1,Fraction Damaged,0
8,B1031.021b,2,Number in DS,0
8,B1031.021b,2,Fraction Needed,0.0258092029869105
8,B1031.021b,2,Fraction Damaged,0


9,-,-,Has Unsafe Placard,False
9,-,-,Collapse,False
9,-,-,Residual Drift,False

9,B1031.001,-,Total in Building,20
9,B1031.001,-,Caused Unsafe Placard,False
9,B1031.001,1/0,Number in DS,0
9,B1031.001,1/0,Fraction Needed,0
9,B1031.001,1/0,Fraction Damaged,0
9,B1031.001,1/1,Number in DS,0
9,B1031.001,1/1,Fraction Needed,0
9,B1031.001,1/1,Fraction Damaged,0
9,B1031.001,2,Number in DS,0
9,B1031.001,2,Fraction Needed,0.574822368942574
9,B1031.001,2,Fraction Damaged,0
9,B1031.001,3,Number in DS,0
9,B1031.001,3,Fraction Needed,0.0664956786331757
9,B1031.001,3,Fraction Damaged,0

9,B1035.022,-,Total in Building,36
9,B1035.022,-,Caused Unsafe Placard,False
9,B1035.022,1,Number in DS,0
9,B1035.022,1,Fraction Needed,0
9,B1035.022,1,Fraction Damaged,0
9,B1035.022,2,Number in DS,0
9,B1035.022,2,Fraction Needed,0.534043475253367
9,B1035.022,2,Fraction Damaged,0
9,B1035.022,3,Number in DS,0
9,B1035.022,3,Fraction Needed,0.213012432933941
9,B1035.022,3,Fraction Damaged,0

9,B1035.032,-,Total in Building,144
9,B1035.032,-,Caused Unsafe Placard,False
9,B1035.032,1,Number in DS,0
9,B1035.032,1,Fraction Needed,0
9,B1035.032,1,Fraction Damaged,0
9,B1035.032,2,Number in DS,0
9,B1035.032,2,Fraction Needed,0.746880320539893
9,B1035.032,2,Fraction Damaged,0
9,B1035.032,3,Number in DS,0
9,B1035.032,3,Fraction Needed,1
9,B1035.032,3,Fraction Damaged,0

9,B2022.001,-,Total in Building,4050
9,B2022.001,-,Caused Unsafe Placard,False
9,B2022.001,1,Number in DS,0
9,B2022.001,1,Fraction Needed,0
9,B2022.001,1,Fraction Damaged,0
9,B2022.001,2,Number in DS,0
9,B2022.001,2,Fraction Needed,0.795226378240816
9,B2022.001,2,Fraction Damaged,0

9,B3011.011,-,Total in Building,549
9,B3011.011,-,Caused Unsafe Placard,False
9,B3011.011,1,Number in DS,0
9,B3011.011,1,Fraction Needed,0
9,B3011.011,1,Fraction Damaged,0
9,B3011.011,2,Number in DS,35
9,B3011.011,2,Fraction Needed,0.877388223801407
9,B3011.011,2,Fraction Damaged,0.063752276867031

9,B1031.021b,-,Total in Building,40
9,B1031.021b,-,Caused Unsafe Placard,False
9,B1031.021b,1/0,Number in DS,0
9,B1031.021b,1/0,Fraction Needed,0
9,B1031.021b,1/0,Fraction Damaged,0
9,B1031.021b,1/1,Number in DS,0
9,B1031.021b,1/1,Fraction Needed,0
9,B1031.021b,1/1,Fraction Damaged,0
9,B1031.021b,2,Number in DS,0
9,B1031.021b,2,Fraction Needed,0.00808624340183383
9,B1031.021b,2,Fraction Damaged,0


10,-,-,Has Unsafe Placard,False
10,-,-,Collapse,False
10,-,-,Residual Drift,False

10,B1031.001,-,Total in Building,20
10,B1031.001,-,Caused Unsafe Placard,False
10,B1031.001,1/0,Number in DS,0
10,B1031.001,1/0,Fraction Needed,0
10,B1031.001,1/0,Fraction Damaged,0
10,B1031.001,1/1,Number in DS,0
10,B1031.001,1/1,Fraction Needed,0
10,B1031.001,1/1,Fraction Damaged,0
10,B1031.001,2,Number in DS,0
10,B1031.001,2,Fraction Needed,0.149961236740658
10,B1031.001,2,Fraction Damaged,0
10,B1031.001,3,Number in DS,0
10,B1031.001,3,Fraction Needed,0.380365108383237
10,B1031.001,3,Fraction Damaged,0

10,B1035.022,-,Total in Building,36
10,B1035.022,-,Caused Unsafe Placard,False
10,B1035.022,1,Number in DS,0
10,B1035.022,1,Fraction Needed,0
10,B1035.022,1,Fraction Damaged,0
10,B1035.022,2,Number in DS,0
10,B1035.022,2,Fraction Needed,0.914636085693091
10,B1035.022,2,Fraction Damaged,0
10,B1035.022,3,Number in DS,0
10,B1035.022,3,Fraction Needed,0.223904218201562
10,B1035.022,3,Fraction Damaged,0

10,B1035.032,-,Total in Building,144
10,B1035.032,-,Caused Unsafe Placard,False
10,B1035.032,1,Number in DS,0
10,B1035.032,1,Fraction Needed,0
10,B1035.032,1,Fraction Damaged,0
10,B1035.032,2,Number in DS,0
10,B1035.032,2,Fraction Needed,0.422271139134265
10,B1035.032,2,Fraction Damaged,0
10,B1035.032,3,Number in DS,0
10,B1035.032,3,Fraction Needed,0.354183125010231
10,B1035.032,3,Fraction Damaged,0

10,B2022.001,-,Total in Building,4050
10,B2022.001,-,Caused Unsafe Placard,False
10,B2022.001,1,Number in DS,0
10,B2022.001,1,Fraction Needed,0
10,B2022.001,1,Fraction Damaged,0
10,B2022.001,2,Number in DS,0
10,B2022.001,2,Fraction Needed,0.461301215008465
10,B2022.001,2,Fraction Damaged,0

10,B3011.011,-,Total in Building,549
10,B3011.011,-,Caused Unsafe Placard,False
10,B3011.011,1,Number in DS,0
10,B3011.011,1,Fraction Needed,0
10,B3011.011,1,Fraction Damaged,0
10,B3011.011,2,Number in DS,31
10,B3011.011,2,Fraction Needed,1
10,B3011.011,2,Fraction Damaged,0.0564663023679417

10,B1031.021b,-,Total in Building,40
10,B1031.021b,-,Caused Unsafe Placard,False
10,B1031.021b,1/0,Number in DS,0
10,B1031.021b,1/0,Fraction Needed,0
10,B1031.021b,1/0,Fraction Damaged,0
10,B1031.021b,1/1,Number in DS,0
10,B1031.021b,1/1,Fraction Needed,0
